"item_id","ingredient_list","source_branded_food_category"
"1278684","BEEF WATER, SALT, CORN SYRUP, DEXTROSE, SODIUM PHOSPHATE, FLAVORINGS AND COLORING, SUGAR, SODIUM ERYTHORBATE, AUTOLYZED YEAST EXTRACT, SODIUM NITRITE.","Sausages, Hotdogs & Brats"
"1984955","INGREDIENTS: CHICKEN, MOZZARELLA CHEESE [LOW MOISTURE PART SKIM MOZZARELLA CHEESE (PASTEURIZED PART SKIM MILK, CHEESE CULTURE, SALT, ENZYMES)], ITALIAN SEASONING (SALT, SPICES, SUGAR PAPRIKA, DEHYDRATED GARLIC, DEHYDRATED PARSLEY, OLIVE OIL), WATER, CONTAINS 2% OR LESS OF DEHYDRATED ONIONS, DRY VINEGAR, BASIL, DEHYDRATED RED BELL PEPPER, CELERY POWDER, SEA SALT, NATURAL FLAVORS, DEHYDRATED PARSLEY. IN A NATURAL PORK CASING.","Sausages, Hotdogs & Brats"
"2631174","BEEF, SUGAR, BROWN SUGAR, SALT, WATER, SPICES, SODIUM NITRITE, MONOSODIUM GLUTAMATE","Pepperoni, Salami & Cold Cuts"
"570913","PORK, SEA SALT, 2% OR LESS OF: DEXTROSE, WHITE WINE, SPICES, GARLIC, NATURAL FLAVORING, LACTIC ACID STARTER CULTURE, SODIUM ERYTHORBATE, NATURAL SMOKE FLAVORING, SODIUM NITRATE, SODIUM NITRITE.","Pepperoni, Salami & Cold Cuts"
"2679506","ANGUS BEEF, WATER, CULTURED DEXTROSE"", CONTAINS LESS THAN 2% OF DEXTROSE, SALT, CULTURED CELERY JUICE, DISTILLED WHITE VINEGAR, SODIUM PHOSPHATES, CHERRY POWDER, FLAVOR. EXTRACTIVES OF PAPRIKA.","Sausages, Hotdogs & Brats"
"1625306","BEEF, WATER, SALT, CONTAINS LESS THAN 2% SORBITOL, FLAVORING, POTASSIUM LACTATE, PAPRIKA, GARLIC POWDER, HICKORY SMOKE FLAVOR, SODIUM DIACETATE, SODIUM ERYTHORBATE, SODIUM NITRITE.","Sausages, Hotdogs & Brats"
"2679391","PORK, SEASONINGS (SALT, DEXTROSE, LEMON EXTRACT, SPICES, SPICE EXTRACTIVES), WATER, SODIUM LACTATE.","Sausages, Hotdogs & Brats"
"1785722","PORK, WATER, SALT, SPICES CAYENNE PEPPER, FENNELL SEED, MONOSODIUM GLUTAMATE, DEXTROSE, NATURAL FLAVOR.","Sausages, Hotdogs & Brats"
"2553510","BEEF AND PORK, WATER, CORN SYRUP SPICES, SOLIDS, SALT, NONFAT DRY MILK, PAPRIKA, FLAVORINGS, SODIUM ERYTHORBATE, SODIUM NITRITE.","Sausages, Hotdogs & Brats"
"435932","PORK RAISED WITHOUT ANTIBIOTICS, WATER, WHITE ONION, CONTAINS LESS THAN 2% OF THE FOLLOWING: SALT, SEASONING [SPICES (PEPPER, MACE, CORIANDER, GINGER, MARJORAM), DEHYDRATED LEMON] IN A NATURAL PORK CASING.","Sausages, Hotdogs & Brats"
"2018181","BEEF, SALT, CONTAINS 2% OR LESS OF: CORN SYRUP SOLIDS, SPICES, DEXTROSE, LACTIC ACID, STARTER CULTURE, NATURAL FLAVORINGS, SODIUM ERYTHORBATE, (MADE FROM SUGAR), GARLIC POWDER, SODIUM NITRITE, WATER.","Sausages, Hotdogs & Brats"
